,author_id,id,text,lang,created_at
0,1455206438565974016,1539009917192904704,"Do you need help  finishing your assignment
pay sociology
someone write
pay biology
Physics
pay final
pay accounts
term paper
pay statistics
pay online class 
pay essay
pay paper [
#python
#javascript
#WomenWhocode
#100DaysOfCode 
Dm @Excelle92486040",en,2022-06-20T22:18:52.000Z
1,1524278963689951235,1539009890232025088,"Pay us to do or write your 
#Assignments 
#calculus 
#homework
#Homeworkhelp 
#summerclasses 
#Onlineclass 
#essayhelp 
#Essaydue 
#essaywrite 
#Essays
#Music
#Art
#Law 
#Javascript
#Python
#Programming
#CodeNewbies 
#100daysofcode
#webdevelopment 
#Datascience
Dm us now for help https://t.co/Si0UT1l3By",en,2022-06-20T22:18:45.000Z
2,1463278843494498306,1539009796149497857,"Day 10/100

Finally, my laptop has been fixed, been busy with other stuff while my laptop was repaired

I learnt
- how to create dictionaries, how to delete dictionary entries, dictionary vs lists
- dictionary operation
- how to create a text file

using python

#100DaysOfCode",en,2022-06-20T22:18:23.000Z
3,1538995386018299909,1539009697650466818,"Livraison gratuite et rapide
WhatsApp 33 7 57 75 33 13
Télègram :@jasonbudds1

#Linux #100DaysofCode #PSG #france #weed #beuh #shit #cocaine #drogue #Toulouse #Montpellier #LOSC #Lyon #Bordeaux #pau #Grenoble #paris #citation #MrProverbe #Python #JavaScript #Bordeaux #nîmes #Nant https://t.co/W8dxTjpto8",fr,2022-06-20T22:17:59.000Z
4,1301752788964306944,1539009587411619842,Day 1 of #100DaysOfCode #Python I let’s see what tomorrow has. https://t.co/AVFLc8fmCK,en,2022-06-20T22:17:33.000Z
5,1409513823502061571,1539009516431360000,"Grade A+ assured in any timed paper
#Essay due
#Pay write
#javascript
#Online class take
#Philosophy 
#Chemistry
Literature
#Calculus1,2
#Biology
#Python
#Nursing
#psychology
#Essayhelp
#Essay
#Essaypay
#100DaysOfCode
#WomenWhoCode
#Java
#Linux.
Mathlab
WhatsApp +1(479)351-8400",en,2022-06-20T22:17:16.000Z
6,1524278963689951235,1539009505840840705,"Pay us to do or write your 
#Assignments 
#calculus 
#homework
#Homeworkhelp 
#summerclasses 
#Onlineclass 
#essayhelp 
#Essaydue 
#essaywrite 
#Essays
#Music
#Art
#Law 
#Javascript
#Python
#Programming
#CodeNewbies 
#100daysofcode
#webdevelopment 
#Datascience
Dm us now for help https://t.co/prw5JJbDvv",en,2022-06-20T22:17:14.000Z
7,1276106778506387457,1539009011386920966,"#Day20 of #100DaysOfDSA
YES! i said i'm going to solve some leetcode problems on arrays. i started yesterday, saw a question i couldn't solve🙁, i went back to read on arrays and today i was able to solve 3 leetcode questions on arrays... 1/3
#100DaysOfCode #python #coding #ASUU",en,2022-06-20T22:15:16.000Z
8,1538995386018299909,1539008652882989057,"Livraison  rapide🇫🇷 a domicile
WhatsApp 33 7 57 75 33 13
Télègram :@jasonbudds1
#Linux #100DaysofCode #PSG #france #weed #beuh #shit #cocaine #drogue #Toulouse #Montpellier #LOSC #Lyon #rastabot #pau #Grenoble #paris #citation #saintdenis #Python #Java #Bordeaux #nîmes #Nant https://t.co/yYGOnaZsel",fr,2022-06-20T22:13:50.000Z
9,1281645834275258370,1539008632796467207,"Stress no more
#Assignments 
#calculus 
#homework
#Homeworkhelp 
#summerclasses 
#Onlineclass 
#essayhelp 
#Essaydue 
#essaywrite 
#Essays
#Music
#Art
#Law 
#Javascript
#Python
#Programming
#CodeNewbies 
#100daysofcode
#webdevelopment 
#Datascience
Dm now for help @Brianna_Essays",en,2022-06-20T22:13:46.000Z
